Step,Time (s),Reaction 0 (1/m3s),Err,Reaction 1 (1/m3s),Err,TransitionRegimeCoagulation (1/m3s),Err
389,0.000389000000000003,0,0,0,0,0,0
390,0.000390000000000003,0,0,0,0,0,0
391,0.000391000000000003,0,0,0,0,0,0
392,0.000392000000000003,0,0,0,0,0,0
393,0.000393000000000003,0,0,0,0,0,0
394,0.000394000000000003,0,0,0,0,0,0
395,0.000395000000000003,0,0,0,0,0,0
396,0.000396000000000003,0,0,0,0,0,0
397,0.000397000000000003,0,0,0,0,0,0
398,0.000398000000000003,0,0,0,0,0,0
399,0.000399000000000003,0,0,0,0,0,0
400,0.000400000000000003,0,0,0,0,0,0
401,0.000401000000000003,0,0,0,0,0,0
402,0.000402000000000003,0,0,0,0,0,0
403,0.000403000000000003,0,0,0,0,0,0
404,0.000404000000000003,0,0,0,0,0,0
405,0.000405000000000003,0,0,0,0,0,0
406,0.000406000000000003,0,0,0,0,0,0
407,0.000407000000000003,0,0,0,0,0,0
408,0.000408000000000003,0,0,0,0,0,0
409,0.000409000000000003,0,0,0,0,0,0
410,0.000410000000000003,0,0,0,0,0,0
411,0.000411000000000003,0,0,0,0,0,0
412,0.000412000000000004,0,0,0,0,0,0
413,0.000413000000000004,0,0,0,0,0,0
414,0.000414000000000004,0,0,0,0,0,0
415,0.000415000000000004,0,0,0,0,0,0
416,0.000416000000000004,0,0,0,0,0,0
417,0.000417000000000004,0,0,0,0,0,0
418,0.000418000000000004,0,0,0,0,0,0
419,0.000419000000000004,0,0,0,0,0,0
420,0.000420000000000004,0,0,0,0,0,0
421,0.000421000000000004,0,0,0,0,0,0
422,0.000422000000000004,0,0,0,0,0,0
423,0.000423000000000004,0,0,0,0,0,0
424,0.000424000000000004,0,0,0,0,0,0
425,0.000425000000000004,0,0,0,0,0,0
426,0.000426000000000004,0,0,0,0,0,0
427,0.000427000000000004,0,0,0,0,0,0
428,0.000428000000000004,0,0,0,0,0,0
429,0.000429000000000004,0,0,0,0,0,0
430,0.000430000000000004,0,0,0,0,0,0
431,0.000431000000000004,0,0,0,0,0,0
432,0.000432000000000004,0,0,0,0,0,0
433,0.000433000000000004,0,0,0,0,0,0
434,0.000434000000000004,0,0,0,0,0,0
435,0.000435000000000004,0,0,0,0,0,0
436,0.000436000000000004,0,0,0,0,0,0
437,0.000437000000000004,0,0,0,0,0,0
438,0.000438000000000004,0,0,0,0,0,0
439,0.000439000000000004,0,0,0,0,0,0
440,0.000440000000000004,0,0,0,0,0,0
441,0.000441000000000004,0,0,0,0,0,0
442,0.000442000000000004,0,0,0,0,0,0
443,0.000443000000000004,0,0,0,0,0,0
444,0.000444000000000004,0,0,0,0,0,0
445,0.000445000000000004,0,0,0,0,0,0
446,0.000446000000000004,0,0,0,0,0,0
447,0.000447000000000004,0,0,0,0,0,0
448,0.000448000000000004,0,0,0,0,0,0
449,0.000449000000000004,0,0,0,0,0,0
450,0.000450000000000004,0,0,0,0,0,0
451,0.000451000000000004,0,0,0,0,0,0
452,0.000452000000000004,0,0,0,0,0,0
453,0.000453000000000005,0,0,0,0,0,0
454,0.000454000000000005,0,0,0,0,0,0
455,0.000455000000000005,0,0,0,0,0,0
456,0.000456000000000005,0,0,0,0,0,0
457,0.000457000000000005,0,0,0,0,0,0
458,0.000458000000000005,0,0,0,0,0,0
459,0.000459000000000005,0,0,0,0,0,0
460,0.000460000000000005,0,0,0,0,0,0
461,0.000461000000000005,0,0,0,0,0,0
462,0.000462000000000005,0,0,0,0,0,0
463,0.000463000000000005,0,0,0,0,0,0
464,0.000464000000000005,0,0,0,0,0,0
465,0.000465000000000005,0,0,0,0,0,0
466,0.000466000000000005,0,0,0,0,0,0
467,0.000467000000000005,0,0,0,0,0,0
468,0.000468000000000005,0,0,0,0,0,0
469,0.000469000000000005,0,0,0,0,0,0
470,0.000470000000000005,0,0,0,0,0,0
471,0.000471000000000005,0,0,0,0,0,0
472,0.000472000000000005,0,0,0,0,0,0
473,0.000473000000000005,0,0,0,0,0,0
474,0.000474000000000005,0,0,0,0,0,0
475,0.000475000000000005,0,0,0,0,0,0
476,0.000476000000000005,0,0,0,0,0,0
477,0.000477000000000005,0,0,0,0,0,0
478,0.000478000000000005,0,0,0,0,0,0
479,0.000479000000000005,0,0,0,0,0,0
480,0.000480000000000005,0,0,0,0,0,0
481,0.000481000000000005,0,0,0,0,0,0
482,0.000482000000000005,0,0,0,0,0,0
483,0.000483000000000005,0,0,0,0,0,0
484,0.000484000000000005,0,0,0,0,0,0
485,0.000485000000000005,0,0,0,0,0,0
486,0.000486000000000005,0,0,0,0,0,0
487,0.000487000000000005,0,0,0,0,0,0
488,0.000488000000000005,0,0,0,0,0,0
489,0.000489000000000005,0,0,0,0,0,0
490,0.000490000000000005,0,0,0,0,0,0
491,0.000491000000000005,0,0,0,0,0,0
492,0.000492000000000005,0,0,0,0,0,0
493,0.000493000000000005,0,0,0,0,0,0
494,0.000494000000000006,0,0,0,0,0,0
495,0.000495000000000006,0,0,0,0,0,0
496,0.000496000000000006,0,0,0,0,0,0
497,0.000497000000000006,0,0,0,0,0,0
498,0.000498000000000006,0,0,0,0,0,0
499,0.000499000000000006,0,0,0,0,0,0
500,0.000500000000000006,0,0,0,0,0,0
